crsyr1,origin_loc,cross_loc,us_loc
1979,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1993,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1981,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1965,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1985,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1968,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1968,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1967,"Los Reyes, Michoacán","Tijuana, Baja California del Norte","Oakland, CA "
1947,Michoacán,"Tijuana, Baja California del Norte",
1983,Baja California del Norte,"Tijuana, Baja California del Norte","Washington, DC-MD-VA-WV "
1984,Baja California del Norte,"Tijuana, Baja California del Norte","Fresno, CA "
1955,Baja California del Norte,"Juárez, Chihuahua","San Antonio, TX "
1970,Baja California del Norte,"Tijuana, Baja California del Norte","Sacramento, CA "
1975,Baja California del Norte,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1987,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1937,Baja California del Norte,"Reynosa, Tamaulipas","San Antonio, TX "
1983,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Baja California del Norte,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1960,Baja California del Norte,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1974,Baja California del Norte,"Tijuana, Baja California del Norte",
1946,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",
1990,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1992,Baja California del Norte,"Tijuana, Baja California del Norte",
1984,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Baja California del Norte,"Tijuana, Baja California del Norte","Orange County, CA "
1972,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,"Tianguistengo, Guerrero","Tijuana, Baja California del Norte","San Diego, CA "
1967,Baja California del Norte,"Tijuana, Baja California del Norte","Ventura, CA "
1976,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1972,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1967,Baja California del Norte,"Juárez, Chihuahua","Riverside-San Bernardino, CA "
1962,Baja California del Norte,"Mexicali, Baja California del Norte","Stockton-Lodi, CA "
1952,Baja California del Norte,"Tijuana, Baja California del Norte","Sacramento, CA "
1975,Baja California del Norte,"Tijuana, Baja California del Norte","Fresno, CA "
1966,Baja California del Norte,"Tijuana, Baja California del Norte",
1985,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1982,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1977,Baja California del Norte,"Tijuana, Baja California del Norte","San Jose, CA "
1944,Baja California del Norte,"Juárez, Chihuahua","Los Angeles-Long Beach, CA "
1984,Baja California del Norte,"Tijuana, Baja California del Norte","Sacramento, CA "
1996,Baja California del Norte,"Tijuana, Baja California del Norte","San Jose, CA "
1982,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1956,Baja California del Norte,"Tijuana, Baja California del Norte","Fresno, CA "
1983,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1979,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1996,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1994,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1983,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1988,Baja California del Norte,"Tijuana, Baja California del Norte","Fresno, CA "
1979,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1940,Baja California del Norte,"Mexicali, Baja California del Norte",
1982,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1986,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","San Diego, CA "
1956,Baja California del Norte,"Juárez, Chihuahua","Sacramento, CA "
1976,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1952,"Degollado, Jalisco","Tijuana, Baja California del Norte","San Diego, CA "
1979,Baja California del Norte,"Tijuana, Baja California del Norte","Sacramento, CA "
1989,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Baja California del Norte,"Tijuana, Baja California del Norte","Phoenix-Mesa, AZ "
1994,Baja California del Norte,"Tijuana, Baja California del Norte","New York, NY "
1992,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Baja California del Norte,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1962,Baja California del Norte,"Tijuana, Baja California del Norte","Fresno, CA "
1958,Baja California del Norte,"Mexicali, Baja California del Norte","Salinas, CA "
1942,Baja California del Norte,"Mexicali, Baja California del Norte","Fresno, CA "
1985,Baja California del Norte,"Tijuana, Baja California del Norte","Orange County, CA "
1958,,"Tijuana, Baja California del Norte","San Francisco, CA "
1955,Baja California del Norte,"Mexicali, Baja California del Norte",
1978,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1946,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1967,"Torreón, Coahuila de Zaragoza","Tijuana, Baja California del Norte","San Francisco, CA "
1978,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,Baja California del Norte,"Tijuana, Baja California del Norte","San Diego, CA "
1962,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1995,Baja California del Norte,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1992,"Caborca, Sonora","Tijuana, Baja California del Norte","Orange County, CA "
1971,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Colima,"Nogales, Sonora","Fresno, CA "
1965,Colima,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1938,Colima,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1990,"Tecomán, Colima","Mexicali, Baja California del Norte",
1993,Colima,"Tijuana, Baja California del Norte",
1985,Colima,"Tijuana, Baja California del Norte","San Diego, CA "
1983,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1973,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1979,Colima,"Juárez, Chihuahua","Yakima, WA "
1981,Colima,"Altar, Sonora","Fresno, CA "
1979,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Colima,"Tijuana, Baja California del Norte","Modesto, CA "
1975,"Tancítaro, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1996,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1995,Colima,"Tecate, Baja California del Norte","Chico-Paradise, CA "
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,"Morelia, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Colima,"Tijuana, Baja California del Norte","Chico-Paradise, CA "
1982,Colima,"Tecate, Baja California del Norte",
1989,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1976,Colima,"Tijuana, Baja California del Norte",
1975,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1979,Colima,"Tijuana, Baja California del Norte",
1972,Colima,"Tijuana, Baja California del Norte","Yuma, AZ "
1993,Colima,"Tijuana, Baja California del Norte",
1971,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1994,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Colima,"Tijuana, Baja California del Norte",
1996,Colima,"Tijuana, Baja California del Norte","Modesto, CA "
1967,Colima,"Tijuana, Baja California del Norte",
1992,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Colima,"Tijuana, Baja California del Norte","Stockton-Lodi, CA "
1988,Colima,"Tijuana, Baja California del Norte",
1993,Colima,"Tijuana, Baja California del Norte",
1981,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1992,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Colima,"Tijuana, Baja California del Norte",
1970,Colima,"Tijuana, Baja California del Norte","Medford-Ashland, OR "
1988,Colima,"Tijuana, Baja California del Norte",
1982,Colima,"Tecate, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1975,Colima,"Tijuana, Baja California del Norte","Visalia-Tulare-Porterville, CA "
1969,Colima,"Tijuana, Baja California del Norte","San Jose, CA "
1968,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Colima,"Tijuana, Baja California del Norte",
1967,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1992,Colima,"Tijuana, Baja California del Norte","Bakersfield, CA "
1985,"Santiago Ixcuintla, Nayarit","Tijuana, Baja California del Norte",
1965,Colima,"Tijuana, Baja California del Norte","Modesto, CA "
1973,Colima,"Tijuana, Baja California del Norte","Modesto, CA "
1979,Colima,"Tijuana, Baja California del Norte",
1987,Colima,"Tijuana, Baja California del Norte","Fresno, CA "
1984,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Colima,"Tijuana, Baja California del Norte","Merced, CA "
1984,Colima,"Tijuana, Baja California del Norte","Visalia-Tulare-Porterville, CA "
1980,Colima,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Colima,"Tijuana, Baja California del Norte","Visalia-Tulare-Porterville, CA "
1975,Colima,"Tijuana, Baja California del Norte",
1978,Colima,"Tijuana, Baja California del Norte",
1995,Colima,"Tecate, Baja California del Norte",
1970,Colima,"Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1963,Colima,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1982,Colima,"Tijuana, Baja California del Norte",
1980,Colima,"Tijuana, Baja California del Norte",
1982,Sinaloa,"Tijuana, Baja California del Norte",
1969,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Colima,"Tijuana, Baja California del Norte",
1980,Aguascalientes,", Coahuila de Zaragoza","Oklahoma City, OK "
1978,Aguascalientes,"Juárez, Chihuahua",
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1994,Aguascalientes,"Nogales, Sonora",
1997,Aguascalientes,"Juárez, Chihuahua",
1971,Aguascalientes,", Coahuila de Zaragoza",
1983,"Piedras Negras, Coahuila de Zaragoza","Tijuana, Baja California del Norte","Denver, CO "
1988,Aguascalientes,"Tijuana, Baja California del Norte","Orange County, CA "
1980,Aguascalientes,"Tijuana, Baja California del Norte","Orange County, CA "
1995,"Nuevo Laredo, Tamaulipas","Juárez, Chihuahua","Tulsa, OK "
1987,Aguascalientes,"Juárez, Chihuahua","Reno, NV "
1988,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1997,Aguascalientes,"Juárez, Chihuahua",
1988,Aguascalientes,"Tijuana, Baja California del Norte","Houston, TX "
1980,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1965,Aguascalientes,"Piedras Negras, Coahuila de Zaragoza","Orange County, CA "
1994,Aguascalientes,"Juárez, Chihuahua",
1986,Aguascalientes,"Juárez, Chihuahua","Dallas, TX "
1997,Aguascalientes,"Juárez, Chihuahua","Tulsa, OK "
1996,"Jalpan de Serra, Querétaro","Juárez, Chihuahua","Miami, FL "
1959,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Aguascalientes,", Coahuila de Zaragoza","San Angelo, TX "
1984,"Tepic, Nayarit","Tijuana, Baja California del Norte",
1989,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1990,Aguascalientes,"Juárez, Chihuahua","Reno, NV "
1995,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"Nacozari de García, Sonora","Juárez, Chihuahua","Tulsa, OK "
1975,Aguascalientes,"Piedras Negras, Coahuila de Zaragoza","Tulsa, OK "
1982,Aguascalientes,"Juárez, Chihuahua","Chicago, IL "
1964,Aguascalientes,"Piedras Negras, Coahuila de Zaragoza",
1978,Aguascalientes,"Tijuana, Baja California del Norte","Orange County, CA "
1985,Aguascalientes,"Tijuana, Baja California del Norte","San Diego, CA "
1996,Aguascalientes,"Piedras Negras, Coahuila de Zaragoza","Dallas, TX "
1973,Aguascalientes,"Tecate, Baja California del Norte",
1994,Aguascalientes,"Tijuana, Baja California del Norte","Tulsa, OK "
1993,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1992,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1983,Zacatecas,"Juárez, Chihuahua","Houston, TX "
1987,Aguascalientes,"Nuevo Laredo, Tamaulipas","Dallas, TX "
1985,Aguascalientes,"Juárez, Chihuahua","Tulsa, OK "
1996,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1983,Aguascalientes,"Mexicali, Baja California del Norte","Fresno, CA "
1980,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,Distrito Federal,"Juárez, Chihuahua","Chicago, IL "
1980,Aguascalientes,"Nuevo Laredo, Tamaulipas","Tulsa, OK "
1995,Aguascalientes,"Juárez, Chihuahua",
1986,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1998,Aguascalientes,"Agua Prieta, Sonora","Tulsa, OK "
1985,Aguascalientes,"Piedras Negras, Coahuila de Zaragoza","Dallas, TX "
1984,Aguascalientes,"Tijuana, Baja California del Norte","Reno, NV "
1987,Aguascalientes,"Agua Prieta, Sonora","Chicago, IL "
1976,", Zacatecas","Juárez, Chihuahua",
1977,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","San Diego, CA "
1978,Sinaloa,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1974,"Culiacan, Sinaloa","Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Sinaloa,"Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,"Guasave, Sinaloa","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1980,Sinaloa,"San Luis Río Colorado, Sonora","Fresno, CA "
1979,Sinaloa,"Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Sinaloa,"Mexicali, Baja California del Norte","Bakersfield, CA "
1947,Sinaloa,"Mexicali, Baja California del Norte","San Jose, CA "
1982,Sinaloa,"Tijuana, Baja California del Norte","Visalia-Tulare-Porterville, CA "
1985,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1950,Sinaloa,"Mexicali, Baja California del Norte",
1986,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1989,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1979,Sinaloa,"Mexicali, Baja California del Norte","Fresno, CA "
1964,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1990,"Cajeme, Sonora","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Sinaloa,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1984,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1987,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1998,"Mazatlán, Sinaloa","Nogales, Sonora","Riverside-San Bernardino, CA "
1971,Sinaloa,"Mexicali, Baja California del Norte","Merced, CA "
1983,Sinaloa,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Sinaloa,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,Sinaloa,"Mexicali, Baja California del Norte","Fresno, CA "
1982,Sinaloa,"Nogales, Sonora","Phoenix-Mesa, AZ "
1991,Sinaloa,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","Fresno, CA "
1990,Sinaloa,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Sinaloa,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1949,Sinaloa,"Mexicali, Baja California del Norte","Fresno, CA "
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Aguascalientes,"Tijuana, Baja California del Norte","Fresno, CA "
1989,Aguascalientes,"Tijuana, Baja California del Norte",
1984,Aguascalientes,"Tijuana, Baja California del Norte","Fresno, CA "
1972,Distrito Federal,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,Aguascalientes,"Tijuana, Baja California del Norte",
1980,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Aguascalientes,"Tijuana, Baja California del Norte","Oklahoma City, OK "
1982,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Aguascalientes,"Tijuana, Baja California del Norte","Orange County, CA "
1980,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Aguascalientes,"Tijuana, Baja California del Norte","Tacoma, WA "
1989,Aguascalientes,"Agua Prieta, Sonora","Chicago, IL "
1995,Aguascalientes,"Tijuana, Baja California del Norte","Merced, CA "
1979,Distrito Federal,"Reynosa, Tamaulipas","Houston, TX "
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1993,Aguascalientes,"Tijuana, Baja California del Norte","Orange County, CA "
1993,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Aguascalientes,"Tijuana, Baja California del Norte","San Francisco, CA "
1975,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1987,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1987,Aguascalientes,"Tijuana, Baja California del Norte","Merced, CA "
1996,Aguascalientes,"Agua Prieta, Sonora","Oklahoma City, OK "
1984,Aguascalientes,"Juárez, Chihuahua","Oklahoma City, OK "
1995,"Tecate, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1997,Aguascalientes,"Agua Prieta, Sonora","Salt Lake City-Ogden, UT "
1984,Aguascalientes,"Tijuana, Baja California del Norte","Houston, TX "
1995,Aguascalientes,"Agua Prieta, Sonora","Los Angeles-Long Beach, CA "
1980,Aguascalientes,"Tijuana, Baja California del Norte","Ventura, CA "
1978,Aguascalientes,"Nuevo Laredo, Tamaulipas","Houston, TX "
1978,Aguascalientes,"Nuevo Laredo, Tamaulipas","Houston, TX "
1978,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1997,Aguascalientes,"Agua Prieta, Sonora","Oklahoma City, OK "
1998,Aguascalientes,"Agua Prieta, Sonora","Denver, CO "
1995,Aguascalientes,"Agua Prieta, Sonora",
1979,Aguascalientes,"Tijuana, Baja California del Norte","San Francisco, CA "
1978,Aguascalientes,"Nuevo Laredo, Tamaulipas","Houston, TX "
1992,Aguascalientes,"Nogales, Sonora","Oklahoma City, OK "
1995,Aguascalientes,"Agua Prieta, Sonora",
1985,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Distrito Federal,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Aguascalientes,"Nuevo Laredo, Tamaulipas","Houston, TX "
1986,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,Aguascalientes,"Tijuana, Baja California del Norte","Fresno, CA "
1982,Aguascalientes,"Tijuana, Baja California del Norte","Merced, CA "
1988,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,Aguascalientes,"Tijuana, Baja California del Norte","Ventura, CA "
1979,Aguascalientes,"Tijuana, Baja California del Norte","Fresno, CA "
1982,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1995,Aguascalientes,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,"Nuevo Laredo, Tamaulipas","Nuevo Laredo, Tamaulipas","Laredo, TX "
1992,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA "
1991,"Uriangato, Guanajuato","Matamoros, Tamaulipas","Houston, TX "
1972,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA "
1976,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1974,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Fort Worth-Arlington, TX "
1988,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1970,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1977,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1961,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1996,Guanajuato,"Tecate, Baja California del Norte",
1970,Guanajuato,"Tijuana, Baja California del Norte","Yuma, AZ "
1985,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1979,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Fort Worth-Arlington, TX "
1983,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1980,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA "
1985,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1979,Guanajuato,"Matamoros, Tamaulipas","Houston, TX "
1981,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1985,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1976,Guanajuato,"Reynosa, Tamaulipas",
1979,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1973,Guanajuato,"Nogales, Sonora","Philadelphia, PA-NJ "
1977,Guanajuato,"Tijuana, Baja California del Norte","Laredo, TX "
1991,Guanajuato,"Tijuana, Baja California del Norte",
1971,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Philadelphia, PA-NJ "
1987,Guanajuato,"Reynosa, Tamaulipas","Houston, TX "
1990,Guanajuato,"Matamoros, Tamaulipas","Houston, TX "
1978,Guanajuato,"Nogales, Sonora","Philadelphia, PA-NJ "
1972,Guanajuato,"Reynosa, Tamaulipas",
1970,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Guanajuato,"San Luis Río Colorado, Sonora","Philadelphia, PA-NJ "
1983,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1980,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1986,Guanajuato,"Tijuana, Baja California del Norte","Sacramento, CA "
1981,Guanajuato,"Tijuana, Baja California del Norte","Sacramento, CA "
1973,Guanajuato,"Nogales, Sonora","Chicago, IL "
1983,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1979,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Houston, TX "
1974,Guanajuato,"Tijuana, Baja California del Norte","Provo-Orem, UT "
1991,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1951,Guanajuato,"Matamoros, Tamaulipas","Houston, TX "
1953,Guanajuato,"Reynosa, Tamaulipas","Houston, TX "
1973,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1973,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1997,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL "
1969,Jalisco,"Nuevo Laredo, Tamaulipas",
1990,Guanajuato,"Tijuana, Baja California del Norte","Salinas, CA "
1980,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1976,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1959,Guanajuato,"Reynosa, Tamaulipas","Brownsville-Harlingen-San Benito, TX "
1979,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1981,Guanajuato,"Juárez, Chihuahua",
1973,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Stockton-Lodi, CA "
1987,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1969,Guanajuato,"Río Bravo, Tamaulipas","Sacramento, CA "
1981,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1973,Guanajuato,"Tijuana, Baja California del Norte",
1991,Guanajuato,"Tijuana, Baja California del Norte",
1969,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Houston, TX "
1964,Guanajuato,"Matamoros, Tamaulipas",
1968,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","San Antonio, TX "
1980,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1957,Guanajuato,"Tijuana, Baja California del Norte","Sacramento, CA "
1979,Guanajuato,"San Luis Río Colorado, Sonora","Wilmington-Newark, DE-MD "
1977,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1965,Guanajuato,"Piedras Negras, Coahuila de Zaragoza",
1976,Guanajuato,"Tijuana, Baja California del Norte","Orange County, CA "
1970,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1977,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Houston, TX "
1981,Guanajuato,"Tijuana, Baja California del Norte","Stockton-Lodi, CA "
1986,Guanajuato,"Tijuana, Baja California del Norte",
1975,Guanajuato,"Tijuana, Baja California del Norte","Philadelphia, PA-NJ "
1993,Guanajuato,"Matamoros, Tamaulipas","Houston, TX "
