crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1960,Michoacán,"Tijuana, Baja California del Norte","Ventura, CA ","(-101.878113, 19.207098)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1962,Michoacán,"Tijuana, Baja California del Norte","Orange County, CA ","(-101.878113, 19.207098)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1982,"Zamora, Michoacán","Tecate, Baja California del Norte","Orange County, CA ","(-102.27126866876873, 20.0290033)","(-116.6298787, 32.5653831)","(-117.8704931, 33.7500378)"
1977,Michoacán,"Tijuana, Baja California del Norte",,"(-101.878113, 19.207098)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1983,Michoacán,"Tijuana, Baja California del Norte",,"(-101.878113, 19.207098)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1955,Michoacán,"Tijuana, Baja California del Norte",,"(-101.878113, 19.207098)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1979,"Zamora, Michoacán","Tijuana, Baja California del Norte","Ventura, CA ","(-102.27126866876873, 20.0290033)","(-116.964662, 32.5010188)","(-119.0779359, 34.4458248)"
1949,Michoacán,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-101.878113, 19.207098)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1969,"Ensenada, Baja California del Norte","Tijuana, Baja California del Norte","Orange County, CA ","(-116.6029835, 31.8658887)","(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1990,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","San Jose, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-121.890583, 37.3361905)"
1973,"La Yesca, Nayarit","Tijuana, Baja California del Norte","Sacramento, CA ","(-104.8366738, 21.5842142)","(-116.964662, 32.5010188)","(-121.493895, 38.5810606)"
1977,"La Yesca, Nayarit","Tijuana, Baja California del Norte","Chicago, IL ","(-104.8366738, 21.5842142)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1960,"Moyahua de Estrada, Zacatecas","Mexicali, Baja California del Norte",,"(-103.18253906931268, 21.1963508)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
1979,", Zacatecas","Tijuana, Baja California del Norte",,"(-103.20856984509811, 23.0823582)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1973,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.6825081, 21.1218598)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1980,"Eduardo Neri, Jalisco","Tijuana, Baja California del Norte",,Fail,"(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1981,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte",,"(-116.964662, 32.5010188)","(-116.964662, 32.5010188)","(11.0480288, 46.3144754)"
1976,Nayarit,"Tijuana, Baja California del Norte","Sacramento, CA ","(-104.87148535201122, 21.8438765)","(-116.964662, 32.5010188)","(-121.493895, 38.5810606)"
